NAME,FEDERAL_DI,POP_18,AREA,POP_DENS
Kurgan Oblast,Ural,845537,71644.000,11.802
Novgorod Oblast,Northwestern,606476,55092.000,11.008
Ulyanovsk Oblast,Volga,1246618,37240.000,33.475
Tula Oblast,Central,1491855,25714.000,58.017
Saratov Oblast,Volga,2462950,101130.000,24.354
Kursk Oblast,Central,1115237,29998.000,37.177
Krasnoyarsk Krai,Siberian,2876497,2330269.000,1.234
Arkhangelsk Oblast,Northwestern,1155028,406163.000,2.844
Karachay-Cherkess,North Caucasian,466305,14282.000,32.650
Dagestan,North Caucasian,3063885,49776.000,61.553
Stavropol Krai,North Caucasian,2800674,66184.000,42.316
Tver Oblast,Central,1283873,84487.000,15.196
Ivanovo Oblast,Central,1014646,21654.000,46.857
Udmurt,Volga,1513044,42152.000,35.895
Mari El,Volga,682333,23393.000,29.168
Omsk Oblast,Siberian,1960081,141207.000,13.881
Tyumen Oblast,Ural,3692400,159856.000,23.098
Altai Krai,Siberian,2350080,168118.000,13.979
Tomsk Oblast,Siberian,1078280,314532.000,3.428
Novosibirsk Oblast,Siberian,2788849,177857.000,15.680
Perm Krai,Volga,2623122,160964.000,16.296
Bashkortostan,Volga,4063293,143016.000,28.411
Sverdlovsk Oblast,Ural,4325256,194212.000,22.271
Chelyabinsk Oblast,Ural,3493036,88701.000,39.380
Murmansk Oblast,Northwestern,753557,144203.000,5.226
Sakha (Yakutia),Far Eastern,964330,3073097.000,0.314
Chukotka AO,Far Eastern,49348,720122.000,0.069
Magadan Oblast,Far Eastern,144091,462581.000,0.311
Yamalo-Nenets AO,Ural,538547,683906.000,0.787
Khanty-Mansi AO (Yugra),Ural,1655074,534829.000,3.095
Karelia,Northwestern,622484,173224.000,3.594
Saint Petersburg,Northwestern,5351935,1459.000,3668.221
Nenets AO,Northwestern,43997,176172.000,0.250
Leningrad Oblast,Northwestern,1813816,84746.000,21.403
Komi,Northwestern,840873,417062.000,2.016
Vologda Oblast,Northwestern,1176689,145622.000,8.080
Oryol Oblast,Central,747247,24648.000,30.317
Smolensk Oblast,Central,949348,49837.000,19.049
Voronezh Oblast,Central,2333768,52258.000,44.659
Khabarovsk Krai,Far Eastern,1328302,785061.000,1.692
Adygea,Southern,453376,7838.000,57.843
Moscow,Central,12506468,2521.000,4960.916
Kostroma Oblast,Central,643324,60256.000,10.677
Belgorod Oblast,Central,1549876,27148.000,57.090
Kaluga Oblast,Central,1012156,29801.000,33.964
Vladimir Oblast,Central,1378337,29144.000,47.294
Tambov Oblast,Central,1033552,34455.000,29.997
Lipetsk Oblast,Central,1150201,24066.000,47.794
Ryazan Oblast,Central,1121474,39716.000,28.237
Moscow Oblast,Central,7503385,44482.000,168.684
Kamchatka Krai,Far Eastern,315557,464468.000,0.679
Primorsky Krai,Far Eastern,1913037,165046.000,11.591
Jewish Autonomous Oblast,Far Eastern,162014,35753.000,4.531
Amur Oblast,Far Eastern,798424,362619.000,2.202
Mordovia,Volga,805056,26148.000,30.788
Bryansk Oblast,Central,1210982,34930.000,34.669
Pskov Oblast,Northwestern,636546,55260.000,11.519
Astrakhan Oblast,Southern,1017514,52643.000,19.329
Sakhalin Oblast,Far Eastern,490181,86200.000,5.687
Ingushetia,North Caucasian,488043,3419.000,142.744
North Ossetia-Alania,North Caucasian,701765,7984.000,87.896
Kabardino-Balkar,North Caucasian,865828,12454.000,69.522
Chechen,North Caucasian,1436981,15831.000,90.770
Kaliningrad Oblast,Northwestern,994599,15112.000,65.815
Kalmykia,Southern,275413,69835.000,3.944
Krasnodar Krai,Southern,5603420,75511.000,74.207
Rostov Oblast,Southern,4220452,101030.000,41.774
Volgograd Oblast,Southern,2521276,112674.000,22.377
Kirov Oblast,Volga,1283238,120598.000,10.641
Chuvash,Volga,1231117,18408.000,66.879
Tatarstan,Volga,3894284,67994.000,57.274
Yaroslavl Oblast,Central,1265684,36173.000,34.990
Orenburg Oblast,Volga,1977720,124243.000,15.918
Samara Oblast,Volga,3193514,53536.000,59.652
Penza Oblast,Volga,1331655,43363.000,30.709
Nizhny Novgorod Oblast,Volga,3234752,76783.000,42.128
Kemerovo Oblast,Siberian,2694877,95799.000,28.131
Buryatia,Far Eastern,984511,351791.000,2.799
Zabaykalsky Krai,Far Eastern,1072806,432348.000,2.481
Irkutsk Oblast,Siberian,2404195,774993.000,3.102
Altai,Siberian,218063,92964.000,2.346
Khakassia,Siberian,537513,61650.000,8.719
Tuva,Siberian,321722,168542.000,1.909
